Identifier,"Start Date / Time","End Date / Time",Title,Subtitle,Type,Description,Permalink,"Building Name",Room,"Location Name",Cost,Tags,Sponsors
110862-21825679,"2023-11-10 15:00:00","2023-11-10 16:30:00","DSI Esports Symposium | Esports Unveiled: A Journey into the Light and Shadows of a Thriving Global Phenomenon","Lindsey Migliore, DO","Lecture / Discussion","Over 3 billion people consider themselves video gamers. Competitive gaming, known as esports (and not eSports, e-sports and CERTAINLY NOT e-Sports) is a vibrant industry with viewership number and revenue rivaling that of most traditional sports. Although seemingly a recent development, this ecosystem has been evolving since the arcade leaderboards of the 1980s. As with any instance of rapid expansion, growing pains are frequent and often overwhelming. This talk will examine the current state of the esports industry, discussing and dissecting both the light and the dark side of this captivating space.

Dr. Lindsey Migliore is an esports medicine physician, Senior Director of Gaming & Performance at Evil Geniuses, Founder of GamerDoc, Executive Director of Queer Women of Esports, Faculty Associate for the NYIT Center for Sports Medicine, co-editor of the Handbook of Esports Medicine & SecretLab Ergonomic Advisor.

We want to make our events accessible to all participants. This will be a hybrid event with both a physical meeting space and an online meeting space. 

Please register in advance for the online Zoom Webinar here: https://umich.zoom.us/webinar/register/WN_qcgYXEo7Sfmmrurvo1Cvqg

Please register for in-person attendance at the University of Michigan's Central Campus: https://myumi.ch/967zW

CART will be provided. If you anticipate needing accommodations to participate, please email Eric Mancini at dsi-administration@umich.edu. Please note that some accommodations must be arranged in advance and we encourage you to contact us as soon as possible.

We would like to thank the following Student Group Co-Sponsors:
Michigan Computer Graphics
PokemonGo UMich
UM Esports

We would like to thank the following Department Co-Sponsors:
Center for Japanese Studies
Department of Recreational Sports
Institute for Research on Women and Gender
Lieberthal-Rogel Center for Chinese Studies
Nam Center for Korean Studies
School of Information DEI Office",https://events.umich.edu/event/110862,"Weiser Hall","10th Floor Event Space","Weiser Hall",,Career,"Digital Studies Institute
Center for Japanese Studies
Institute for Research on Women and Gender
Department of Recreational Sports (Rec Sports)
Lieberthal-Rogel Center for Chinese Studies
School of Information Diversity, Equity, and Inclusion Office"
110466-21824953,"2023-11-13 18:00:00","2023-11-13 19:00:00","Psychology/BCN Alumni Career Spotlight: Arielle Miller, Senior User Experience Designer at Havas Life NY",,"Livestream / Virtual","Passionate about healthcare and UX design, Psychology alumna Arielle is committed to promoting wellness through the application of technology, science, and design. Her experience to date leverages a diverse skillset—drawing from her education in Health Policy and Management and built on a foundation in art and design, and psychology. This unique perspective has helped her implement new systems and streamline process at the scale of one of the largest hospital organizations and financial institutions. 

As a Senior User Experience Designer, she designs web and mobile applications, websites, and other interactive, web-based tools. It involves researching and understanding the user, determining what features need to be added to our product based on user needs, business goals, and business needs, and then designing the interface of the applications. 

This Zoom event is open to all majors! RSVP to receive the link: https://myumi.ch/VMEy9

Read Arielle's full bio here: https://lsa.umich.edu/psych/undergraduates/career-exploration/alumni-profiles2/information-technology/ArielleMiller.html

Connect with her on LinkedIn: https://www.linkedin.com/in/arielle-miller-goodwin/",https://events.umich.edu/event/110466,"Off Campus Location",,Virtual,,Career,"Psychology Undergraduates
University Career Center
Newnan LSA Academic Advising Center
LSA Opportunity Hub"
110456-21824941,"2023-11-17 12:00:00","2023-11-17 13:30:00","Networking and Informational Interviewing for Diverse Career Pathways in the Humanities","A Humanities Career Connections Workshop","Workshop / Seminar","Register for this event at https://myumi.ch/W24xd.

Presented by the Institute for the Humanities, Rackham Graduate School, and the University Career Center, this series of events is intended to support humanities graduate students from across fields in exploring and preparing for the diverse career paths available to them. Students may attend events individually, but may find it especially helpful to attend each in progression.

About today's workshop:
Developing your professional network is an important part of graduate school and success on the job market.  Join this discussion to learn strategies for building your network and professional community (including tips on using LinkedIn, alumni networks, and professional organizations), and how to connect with this network for both career exploration and job/internship searching. We will also cover informational interviewing,  including the purpose of an informational interview, how to identify people to interview, and how to prepare for a productive conversation. There will be plenty of time for your questions!  

About the presenters:
Joe Cialdella is the assistant director of internships & public scholarship at Rackham Graduate School. Kirsten Elling is the coordinator for graduate student career advancement and the Rackham embedded career counselor at the University Career Center.",https://events.umich.edu/event/110456,"202 S. Thayer","Institute for the Humanities Osterman Common Room, #1022","202 S. Thayer",,Career,"Institute for the Humanities
University Career Center
Rackham Graduate School"
111299-21826636,"2023-11-20 12:00:00","2023-11-20 13:00:00","PSC Brownbag Series: Internship and Employment Opportunities at the US Census","Victoria Velkoff","Workshop / Seminar","The PSC Brown Bag Series runs live and on Zoom this year, Mondays from noon to 1.

Victoria Velkoff of the US Census Bureau presents at this brown bag presentation on internship and employment opportunities at the US Census.

Join us in person at ISR (Thompson Street) Room 1430.

Or online: Join Zoom Meeting
https://umich.zoom.us/j/95418610585?pwd=Z0cvdkF1T0R2cG1lRDEvVmlnbVdlZz09

Meeting ID: 954 1861 0585
Passcode: 818420
One tap mobile
+13017158592,,95418610585# US (Washington DC)
+13092053325,,95418610585# US

Dial by your location
+1 301 715 8592 US (Washington DC)
+1 309 205 3325 US
+1 312 626 6799 US (Chicago)
+1 646 876 9923 US (New York)
+1 646 931 3860 US
+1 564 217 2000 US
+1 669 444 9171 US
+1 669 900 6833 US (San Jose)
+1 719 359 4580 US
+1 253 215 8782 US (Tacoma)
+1 346 248 7799 US (Houston)
+1 386 347 5053 US
+1 647 374 4685 Canada
+1 647 558 0588 Canada
+1 778 907 2071 Canada
+1 780 666 0144 Canada
+1 204 272 7920 Canada
+1 438 809 7799 Canada
+1 587 328 1099 Canada
Meeting ID: 954 1861 0585
Find your local number: https://umich.zoom.us/u/aCRAyuQaT

Join by SIP
95418610585@zoomcrc.com

Join by H.323
162.255.37.11 (US West)
162.255.36.11 (US East)
115.114.131.7 (India Mumbai)
115.114.115.7 (India Hyderabad)
213.19.144.110 (Amsterdam Netherlands)
213.244.140.110 (Germany)
103.122.166.55 (Australia Sydney)
103.122.167.55 (Australia Melbourne)
149.137.40.110 (Singapore)
64.211.144.160 (Brazil)
149.137.68.253 (Mexico)
69.174.57.160 (Canada Toronto)
65.39.152.160 (Canada Vancouver)
207.226.132.110 (Japan Tokyo)
149.137.24.110 (Japan Osaka)
Meeting ID: 954 1861 0585
Passcode: 818420",https://events.umich.edu/event/111299,"Institute For Social Research",1430,"Institute For Social Research",,Career,"Population Studies Center
Institute for Social Research"
108880-21820507,"2023-11-21 19:00:00","2023-11-21 20:00:00","PNC Bank Presents 'Budgeting 2.0: Making Budgets Work'","Audi Buraczewski/Jake Barth","Livestream / Virtual","Learn to identify your personal obstacles to budgeting, decide short- and long-term goals, and manage your day-to-day spending to increase your financial security.",https://events.umich.edu/event/108880,"Off Campus Location",,Virtual,,Career,"MCard - Treasurer's Office"
112607-21829177,"2023-11-29 14:30:00","2023-11-29 16:30:00","Making Generative AI Better for You: Fine-tuning and Experimentation for Custom Research Solutions","Generative AI Tutorial Series","Workshop / Seminar","MIDAS and the Michigan AI Laboratory will jointly offer a training series to researchers across research fields as they start incorporating Generative AI in their research. Each will consist of lectures, demonstrations, and hands-on tutorials for using Generative AI in research.

Making Generative AI Better for You: Fine-tuning and Experimentation for Custom Research Solutions

Wednesday, November 29, 2023, 2:30 PM – 4:30 PM
10th Floor, Weiser Hall, 500 Church Street, Ann Arbor

Prerequisites: Some Machine Learning experience.

Customizing and Fine Tuning Large Language Models (LLMs) – Dr. Joyce Chai, Professor of Electrical Engineering and Computer Science, College of Engineering; MIDAS Associate Director

Tutorial: Fine-tuning LLMS – Shane Storks, Graduate Student Research Assistant, Computer Science and Engineering, College of Engineering",https://events.umich.edu/event/112607,"Weiser Hall","10th Floor","Weiser Hall",,Career,"Michigan Institute for Data Science
Michigan Artificial Intelligence Laboratory"
110457-21824942,"2023-12-04 15:00:00","2023-12-04 16:30:00","Alumni Career Panel","A Humanities Career Connections Event","Lecture / Discussion","Register for this event at https://myumi.ch/W24xd.

Presented by the Institute for the Humanities, Rackham Graduate School, and the University Career Center, this series of events is intended to support humanities graduate students from across fields in exploring and preparing for the diverse career paths available to them. Students may attend events individually, but may find it especially helpful to attend each in progression.

About this event:
For humanists interested in pursuing diverse career pathways beyond tenure-track roles, the options can sometimes feel overwhelming and abstract. During this session, a panel of alumni from U-M humanities departments working in diverse industries will provide concrete details about their day-to-day work and the career journeys that led them there. The goal is to provide examples of the varied pathways and types of work humanists pursue after graduating with a Ph.D.

Students should come prepared with questions for the panelists, as there will be plenty of time to steer the conversation in directions that are most meaningful for the group.",https://events.umich.edu/event/110457,,,,,Career,"Institute for the Humanities
University Career Center
Rackham Graduate School"
110528-21825017,"2023-12-05 18:00:00","2023-12-05 19:00:00","Student/Researcher Mixer","End of semester mixer (and poster design examples)","Social / Informal Gathering","FIRST's end of semester mixer. Example science posters will also be setup for anyone who wants to talk about how to present their research at conferences, symposiums, etc. Food and drinks will be provided. This event is hybrid.

RSVP: https://linktr.ee/FIRST_Org",https://events.umich.edu/event/110528,"Biological Sciences Building",1010,"Biological Sciences Building",,Career,"Futures in Research, Science, Teaching - FIRST"
112449-21828934,"2023-12-06 12:00:00","2023-12-06 12:45:00","Microlearning: Acing Your Interview","Presenter: Sarah Button","Workshop / Seminar","Course registration and details are available on the Organizational Learning website.",https://events.umich.edu/event/112449,"Off Campus Location",,Virtual,,Career,"Organizational Learning"
110854-21825670,"2023-12-07 12:00:00","2023-12-07 13:00:00","Oral Health Sciences Seminar Series","Terence D. Capellini, Ph.D., M.Phil., M.A.","Workshop / Seminar","Seminar Title: ""The Regulation of Human Skeleton Development""

Terence D. Capellini, Ph.D., M.Phil., M.A.
Professor
Human Evolutionary Biology
Harvard University",https://events.umich.edu/event/110854,"Dental & W.K. Kellogg Institute","DENT G550","Dental & W.K. Kellogg Institute",,Career,"Office of Research School of Dentistry"
110391-21824862,"2023-12-14 12:00:00","2023-12-14 13:00:00","Oral Health Sciences Seminar Series","Wei Shi, Ph.D.","Workshop / Seminar","Seminar Title: Lung Mesenchymal Cells in Development and Pulmonary Diseases""

Wei Shi, PhD
Professor, Division of Pulmonary, Critical Care, and Sleep Medicine
Department of Internal Medicine
University of Cincinnati College of Medicine",https://events.umich.edu/event/110391,"Dental & W.K. Kellogg Institute","DENT G550","Dental & W.K. Kellogg Institute",,Career,"Office of Research School of Dentistry"
109816-21823035,"2023-12-14 13:00:00","2023-12-14 13:45:00","Microlearning: Impactful Development Conversations","Presenter: Varied","Workshop / Seminar","Course details and registration are available on the Organizational Learning website.",https://events.umich.edu/event/109816,"Off Campus Location",,Virtual,,Career,"Organizational Learning"
110748-21825393,"2024-01-10 12:00:00","2024-01-10 23:59:00","2024 Leadership Crisis Challenge Registration",,Other,"Registration for the 2024 Leadership Crisis Challenge (LCC) opens on Wednesday, January 4 at 12 PM!

LCC is a premier action-based learning experience that immerses participants in a simulated business and media crisis, powered by the Sanger Leadership Center at Michigan Ross. Students play the part of executives responding to the issues as they unfold, while leveraging the expertise of communication coaches, faculty, and a board of directors made up of esteemed U-M alumni, to prepare for a press conference attended by real members of the media.

This year's LCC will be held on January 25-26 and is open to ALL U-M students. There will be two levels of competition—graduate and undergraduate. Two undergraduate teams and two graduate teams will receive a scholarship, split among participants. In addition to the competition, there will be educational workshops, a networking session, and access to the Big House field.

Don't miss out on this amazing, one-of-a-kind opportunity! Apply by January 21.",https://events.umich.edu/event/110748,"Off Campus Location",,Online,,Career,"Sanger Leadership Center"
110748-21825394,"2024-01-11 12:00:00","2024-01-11 23:59:00","2024 Leadership Crisis Challenge Registration",,Other,"Registration for the 2024 Leadership Crisis Challenge (LCC) opens on Wednesday, January 4 at 12 PM!

LCC is a premier action-based learning experience that immerses participants in a simulated business and media crisis, powered by the Sanger Leadership Center at Michigan Ross. Students play the part of executives responding to the issues as they unfold, while leveraging the expertise of communication coaches, faculty, and a board of directors made up of esteemed U-M alumni, to prepare for a press conference attended by real members of the media.

This year's LCC will be held on January 25-26 and is open to ALL U-M students. There will be two levels of competition—graduate and undergraduate. Two undergraduate teams and two graduate teams will receive a scholarship, split among participants. In addition to the competition, there will be educational workshops, a networking session, and access to the Big House field.

Don't miss out on this amazing, one-of-a-kind opportunity! Apply by January 21.",https://events.umich.edu/event/110748,"Off Campus Location",,Online,,Career,"Sanger Leadership Center"
110748-21825395,"2024-01-12 12:00:00","2024-01-12 23:59:00","2024 Leadership Crisis Challenge Registration",,Other,"Registration for the 2024 Leadership Crisis Challenge (LCC) opens on Wednesday, January 4 at 12 PM!

LCC is a premier action-based learning experience that immerses participants in a simulated business and media crisis, powered by the Sanger Leadership Center at Michigan Ross. Students play the part of executives responding to the issues as they unfold, while leveraging the expertise of communication coaches, faculty, and a board of directors made up of esteemed U-M alumni, to prepare for a press conference attended by real members of the media.

This year's LCC will be held on January 25-26 and is open to ALL U-M students. There will be two levels of competition—graduate and undergraduate. Two undergraduate teams and two graduate teams will receive a scholarship, split among participants. In addition to the competition, there will be educational workshops, a networking session, and access to the Big House field.

Don't miss out on this amazing, one-of-a-kind opportunity! Apply by January 21.",https://events.umich.edu/event/110748,"Off Campus Location",,Online,,Career,"Sanger Leadership Center"
110748-21825396,"2024-01-13 12:00:00","2024-01-13 23:59:00","2024 Leadership Crisis Challenge Registration",,Other,"Registration for the 2024 Leadership Crisis Challenge (LCC) opens on Wednesday, January 4 at 12 PM!

LCC is a premier action-based learning experience that immerses participants in a simulated business and media crisis, powered by the Sanger Leadership Center at Michigan Ross. Students play the part of executives responding to the issues as they unfold, while leveraging the expertise of communication coaches, faculty, and a board of directors made up of esteemed U-M alumni, to prepare for a press conference attended by real members of the media.

This year's LCC will be held on January 25-26 and is open to ALL U-M students. There will be two levels of competition—graduate and undergraduate. Two undergraduate teams and two graduate teams will receive a scholarship, split among participants. In addition to the competition, there will be educational workshops, a networking session, and access to the Big House field.

Don't miss out on this amazing, one-of-a-kind opportunity! Apply by January 21.",https://events.umich.edu/event/110748,"Off Campus Location",,Online,,Career,"Sanger Leadership Center"
110748-21825397,"2024-01-14 12:00:00","2024-01-14 23:59:00","2024 Leadership Crisis Challenge Registration",,Other,"Registration for the 2024 Leadership Crisis Challenge (LCC) opens on Wednesday, January 4 at 12 PM!

LCC is a premier action-based learning experience that immerses participants in a simulated business and media crisis, powered by the Sanger Leadership Center at Michigan Ross. Students play the part of executives responding to the issues as they unfold, while leveraging the expertise of communication coaches, faculty, and a board of directors made up of esteemed U-M alumni, to prepare for a press conference attended by real members of the media.

This year's LCC will be held on January 25-26 and is open to ALL U-M students. There will be two levels of competition—graduate and undergraduate. Two undergraduate teams and two graduate teams will receive a scholarship, split among participants. In addition to the competition, there will be educational workshops, a networking session, and access to the Big House field.

Don't miss out on this amazing, one-of-a-kind opportunity! Apply by January 21.",https://events.umich.edu/event/110748,"Off Campus Location",,Online,,Career,"Sanger Leadership Center"
110748-21825398,"2024-01-15 12:00:00","2024-01-15 23:59:00","2024 Leadership Crisis Challenge Registration",,Other,"Registration for the 2024 Leadership Crisis Challenge (LCC) opens on Wednesday, January 4 at 12 PM!

LCC is a premier action-based learning experience that immerses participants in a simulated business and media crisis, powered by the Sanger Leadership Center at Michigan Ross. Students play the part of executives responding to the issues as they unfold, while leveraging the expertise of communication coaches, faculty, and a board of directors made up of esteemed U-M alumni, to prepare for a press conference attended by real members of the media.

This year's LCC will be held on January 25-26 and is open to ALL U-M students. There will be two levels of competition—graduate and undergraduate. Two undergraduate teams and two graduate teams will receive a scholarship, split among participants. In addition to the competition, there will be educational workshops, a networking session, and access to the Big House field.

Don't miss out on this amazing, one-of-a-kind opportunity! Apply by January 21.",https://events.umich.edu/event/110748,"Off Campus Location",,Online,,Career,"Sanger Leadership Center"
110748-21825399,"2024-01-16 12:00:00","2024-01-16 23:59:00","2024 Leadership Crisis Challenge Registration",,Other,"Registration for the 2024 Leadership Crisis Challenge (LCC) opens on Wednesday, January 4 at 12 PM!

LCC is a premier action-based learning experience that immerses participants in a simulated business and media crisis, powered by the Sanger Leadership Center at Michigan Ross. Students play the part of executives responding to the issues as they unfold, while leveraging the expertise of communication coaches, faculty, and a board of directors made up of esteemed U-M alumni, to prepare for a press conference attended by real members of the media.

This year's LCC will be held on January 25-26 and is open to ALL U-M students. There will be two levels of competition—graduate and undergraduate. Two undergraduate teams and two graduate teams will receive a scholarship, split among participants. In addition to the competition, there will be educational workshops, a networking session, and access to the Big House field.

Don't miss out on this amazing, one-of-a-kind opportunity! Apply by January 21.",https://events.umich.edu/event/110748,"Off Campus Location",,Online,,Career,"Sanger Leadership Center"
110748-21825400,"2024-01-17 12:00:00","2024-01-17 23:59:00","2024 Leadership Crisis Challenge Registration",,Other,"Registration for the 2024 Leadership Crisis Challenge (LCC) opens on Wednesday, January 4 at 12 PM!

LCC is a premier action-based learning experience that immerses participants in a simulated business and media crisis, powered by the Sanger Leadership Center at Michigan Ross. Students play the part of executives responding to the issues as they unfold, while leveraging the expertise of communication coaches, faculty, and a board of directors made up of esteemed U-M alumni, to prepare for a press conference attended by real members of the media.

This year's LCC will be held on January 25-26 and is open to ALL U-M students. There will be two levels of competition—graduate and undergraduate. Two undergraduate teams and two graduate teams will receive a scholarship, split among participants. In addition to the competition, there will be educational workshops, a networking session, and access to the Big House field.

Don't miss out on this amazing, one-of-a-kind opportunity! Apply by January 21.",https://events.umich.edu/event/110748,"Off Campus Location",,Online,,Career,"Sanger Leadership Center"
110748-21825401,"2024-01-18 12:00:00","2024-01-18 23:59:00","2024 Leadership Crisis Challenge Registration",,Other,"Registration for the 2024 Leadership Crisis Challenge (LCC) opens on Wednesday, January 4 at 12 PM!

LCC is a premier action-based learning experience that immerses participants in a simulated business and media crisis, powered by the Sanger Leadership Center at Michigan Ross. Students play the part of executives responding to the issues as they unfold, while leveraging the expertise of communication coaches, faculty, and a board of directors made up of esteemed U-M alumni, to prepare for a press conference attended by real members of the media.

This year's LCC will be held on January 25-26 and is open to ALL U-M students. There will be two levels of competition—graduate and undergraduate. Two undergraduate teams and two graduate teams will receive a scholarship, split among participants. In addition to the competition, there will be educational workshops, a networking session, and access to the Big House field.

Don't miss out on this amazing, one-of-a-kind opportunity! Apply by January 21.",https://events.umich.edu/event/110748,"Off Campus Location",,Online,,Career,"Sanger Leadership Center"
110748-21825402,"2024-01-19 12:00:00","2024-01-19 23:59:00","2024 Leadership Crisis Challenge Registration",,Other,"Registration for the 2024 Leadership Crisis Challenge (LCC) opens on Wednesday, January 4 at 12 PM!

LCC is a premier action-based learning experience that immerses participants in a simulated business and media crisis, powered by the Sanger Leadership Center at Michigan Ross. Students play the part of executives responding to the issues as they unfold, while leveraging the expertise of communication coaches, faculty, and a board of directors made up of esteemed U-M alumni, to prepare for a press conference attended by real members of the media.

This year's LCC will be held on January 25-26 and is open to ALL U-M students. There will be two levels of competition—graduate and undergraduate. Two undergraduate teams and two graduate teams will receive a scholarship, split among participants. In addition to the competition, there will be educational workshops, a networking session, and access to the Big House field.

Don't miss out on this amazing, one-of-a-kind opportunity! Apply by January 21.",https://events.umich.edu/event/110748,"Off Campus Location",,Online,,Career,"Sanger Leadership Center"
110748-21825403,"2024-01-20 12:00:00","2024-01-20 23:59:00","2024 Leadership Crisis Challenge Registration",,Other,"Registration for the 2024 Leadership Crisis Challenge (LCC) opens on Wednesday, January 4 at 12 PM!

LCC is a premier action-based learning experience that immerses participants in a simulated business and media crisis, powered by the Sanger Leadership Center at Michigan Ross. Students play the part of executives responding to the issues as they unfold, while leveraging the expertise of communication coaches, faculty, and a board of directors made up of esteemed U-M alumni, to prepare for a press conference attended by real members of the media.

This year's LCC will be held on January 25-26 and is open to ALL U-M students. There will be two levels of competition—graduate and undergraduate. Two undergraduate teams and two graduate teams will receive a scholarship, split among participants. In addition to the competition, there will be educational workshops, a networking session, and access to the Big House field.

Don't miss out on this amazing, one-of-a-kind opportunity! Apply by January 21.",https://events.umich.edu/event/110748,"Off Campus Location",,Online,,Career,"Sanger Leadership Center"
110748-21825404,"2024-01-21 12:00:00","2024-01-21 23:59:00","2024 Leadership Crisis Challenge Registration",,Other,"Registration for the 2024 Leadership Crisis Challenge (LCC) opens on Wednesday, January 4 at 12 PM!

LCC is a premier action-based learning experience that immerses participants in a simulated business and media crisis, powered by the Sanger Leadership Center at Michigan Ross. Students play the part of executives responding to the issues as they unfold, while leveraging the expertise of communication coaches, faculty, and a board of directors made up of esteemed U-M alumni, to prepare for a press conference attended by real members of the media.

This year's LCC will be held on January 25-26 and is open to ALL U-M students. There will be two levels of competition—graduate and undergraduate. Two undergraduate teams and two graduate teams will receive a scholarship, split among participants. In addition to the competition, there will be educational workshops, a networking session, and access to the Big House field.

Don't miss out on this amazing, one-of-a-kind opportunity! Apply by January 21.",https://events.umich.edu/event/110748,"Off Campus Location",,Online,,Career,"Sanger Leadership Center"
110749-21825405,"2024-01-25 17:00:00","2024-01-25 22:00:00","2024 Leadership Crisis Challenge",,"Workshop / Seminar","Registration for the 2024 Leadership Crisis Challenge opens on Wednesday, January 10 at 12 PM!

ABOUT
Leadership Crisis Challenge (LCC) is a premier action-based learning experience that immerses participants in a simulated business and media crisis, powered by the Sanger Leadership Center at Michigan Ross. Students play the part of executives responding to the issues as they unfold, while leveraging the expertise of communication coaches, faculty, and a board of directors made up of esteemed U-M alumni, to prepare for a press conference attended by real members of the media.

LCC is open to ALL U-M students. There will be two levels of competition—graduate and undergraduate. Two undergraduate teams and two graduate teams will receive a scholarship, split among participants. In addition to the competition, there will be educational workshops, a networking session, and access to the Big House field.

Don't miss out on this amazing, one-of-a-kind opportunity! Apply by January 21.

ADDITIONAL INFO
Networking session
During day two of the Challenge, students will have the opportunity to connect with participating alumni and industry leaders in small group settings.

Bring a friend
Registered students are welcome to bring a friend (who has also registered) to the kickoff, in order to be assigned to the same team.

AGENDA
Thursday, January 25, approx. 5–10 PM
Michigan Ross
Friday, January 26, approx. 8 AM–5 PM
Jack Roth Stadium Club at Michigan Stadium
• Teams will be assigned a 50-minute window to present to a board of directors in the morning or early afternoon.
• The final round of competition typically begins around 3 PM and ends by 5 PM.

TIME COMMITMENT
Approximately 10 hours over 2 days

Registration fills quickly; make a note to check your email, or visit our website, on January 10 at 12 PM to sign up.

Questions? Email Sanger at rossleaders@umich.edu.",https://events.umich.edu/event/110749,"Ross School of Business",,"Ross School of Business",,Career,"Sanger Leadership Center"
110749-21825406,"2024-01-26 08:00:00","2024-01-26 17:00:00","2024 Leadership Crisis Challenge",,"Workshop / Seminar","Registration for the 2024 Leadership Crisis Challenge opens on Wednesday, January 10 at 12 PM!

ABOUT
Leadership Crisis Challenge (LCC) is a premier action-based learning experience that immerses participants in a simulated business and media crisis, powered by the Sanger Leadership Center at Michigan Ross. Students play the part of executives responding to the issues as they unfold, while leveraging the expertise of communication coaches, faculty, and a board of directors made up of esteemed U-M alumni, to prepare for a press conference attended by real members of the media.

LCC is open to ALL U-M students. There will be two levels of competition—graduate and undergraduate. Two undergraduate teams and two graduate teams will receive a scholarship, split among participants. In addition to the competition, there will be educational workshops, a networking session, and access to the Big House field.

Don't miss out on this amazing, one-of-a-kind opportunity! Apply by January 21.

ADDITIONAL INFO
Networking session
During day two of the Challenge, students will have the opportunity to connect with participating alumni and industry leaders in small group settings.

Bring a friend
Registered students are welcome to bring a friend (who has also registered) to the kickoff, in order to be assigned to the same team.

AGENDA
Thursday, January 25, approx. 5–10 PM
Michigan Ross
Friday, January 26, approx. 8 AM–5 PM
Jack Roth Stadium Club at Michigan Stadium
• Teams will be assigned a 50-minute window to present to a board of directors in the morning or early afternoon.
• The final round of competition typically begins around 3 PM and ends by 5 PM.

TIME COMMITMENT
Approximately 10 hours over 2 days

Registration fills quickly; make a note to check your email, or visit our website, on January 10 at 12 PM to sign up.

Questions? Email Sanger at rossleaders@umich.edu.",https://events.umich.edu/event/110749,"Michigan Stadium",,"Michigan Stadium",,Career,"Sanger Leadership Center"
110468-21824956,"2024-02-19 18:00:00","2024-02-19 19:00:00","Psychology/BCN Alumni Career Spotlight: Alexis Dahl, Science Communicator",,"Livestream / Virtual","BCN alumna Alexis Dahl is a Michigan-based science writer and video producer on a mission to help people understand and marvel at the world around them. She's written or edited for the Smithsonian, PBS, Crash Course, and Study Hall, and previously led the editorial team at one of YouTube's biggest science channels: SciShow. In 2021, Alexis launched a new series on YouTube celebrating Michigan's science and history stories, which has since received nearly 3.5 million views.

Despite being a BCN major, Alexis somehow started her science writing journey in the U-M Aerospace Department, and got her first big science writing job through the Michigan Marching Band... and Tumblr. Unsurprisingly, she's now a big fan of applying the skills she learned at Michigan in unexpected ways.

This Zoom event is open to all majors! RSVP to receive the link: https://myumi.ch/VMEy9

Visit Alexis's website: https://www.alexisdahl.com/

Read our recent article about her: https://lsa.umich.edu/psych/news-events/all-news/alumni-news/from-bcn-student-to-professional-youtuber--alexis-dahl.html

Visit her YouTube channel: https://www.youtube.com/AlexisDahl

Connect with her on LinkedIn: https://www.linkedin.com/in/alexisjdahl/",https://events.umich.edu/event/110468,"Off Campus Location",,Virtual,,Career,"Psychology Undergraduates
University Career Center
Newnan LSA Academic Advising Center
LSA Opportunity Hub"
112449-21828935,"2024-03-08 12:00:00","2024-03-08 12:45:00","Microlearning: Acing Your Interview","Presenter: Sarah Button","Workshop / Seminar","Course registration and details are available on the Organizational Learning website.",https://events.umich.edu/event/112449,"Off Campus Location",,Virtual,,Career,"Organizational Learning"
109285-21821348,"2024-03-19 13:00:00","2024-03-19 14:00:00","Rock Your LinkedIn Profile","Presenter: Christine Gramlick","Workshop / Seminar","Course details and registration can be found on the Organizational Learning website.",https://events.umich.edu/event/109285,"Off Campus Location",,Virtual,,Career,"Organizational Learning"
112450-21828937,"2024-06-21 12:00:00","2024-06-21 12:45:00","Microlearning: Acing Your Interview","Presenter: Molly Trusty","Workshop / Seminar","Course registration and details are available on the Organizational Learning website.",https://events.umich.edu/event/112450,"Off Campus Location",,Virtual,,Career,"Organizational Learning"
